编号,食品分类,最大使用量,备注
01.6.1,非熟化干酪,4,400 mg/kg,注释496,注释33,注释487,注释495
07.1.6,面包和普通焙烤制品预拌粉,9,300 mg/kg,注释229,注释33
07.1.4,面包类制品，包括面包馅和面包屑,9,300 mg/kg,注释229,注释33
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,5,600 mg/kg,注释33
06.4.3,预制面制品、面条及其类似产品,2,500 mg/kg,注释211,注释475,注释33
01.1.4,风味液态乳饮料,1,500 mg/kg,注释364,注释33,注释398
13.6,食品补充剂,2,200 mg/kg,注释33
03.0,食用冰，包括冰冻果子露和果汁冰糕,7,500 mg/kg,注释33
11.6,餐桌甜味料，包括含有高浓度甜味剂的产品,1,000 mg/kg,注释33
01.3.2,饮料增白剂,13,000 mg/kg,注释480,注释33
07.1.5,馒头和包子,9,300 mg/kg,注释229,注释33
02.2.1,黄油,880 mg/kg,注释33,注释34
